Date,temp_c,n_conc,rep,chla_read,dilution_factor,chla_total,yield,Fo,Fm
12/5/2023,28,10,B,188.68,1.00,188.68,0.26,2819,3824
12/5/2023,28,10,C,205.96,1.00,205.96,0.28,3077,4303
12/6/2023,18,100,A,881.21,1.50,1321.82,0.15,13162,1553
12/6/2023,18,100,B,715.56,1.50,1073.34,0.26,10688,14442
12/6/2023,18,100,C,746.17,1.50,1119.26,0.16,11414,13658
12/6/2023,18,10,A,706.32,1.50,1059.48,0.32,10550,15559
12/6/2023,18,10,B,731.70,1.50,1097.55,0.33,10929,16290
12/6/2023,18,10,C,758.22,1.50,1137.33,0.31,11325,16383
12/6/2023,22,100,A,585.60,1.50,878.40,0.27,8747,11958
12/6/2023,22,100,B,652.09,1.50,978.14,0.17,9740,11699
12/6/2023,22,100,C,696.09,1.50,1044.14,0.16,10397,12386
12/6/2023,22,10,A,533.84,1.50,800.76,0.31,7974,11489
12/6/2023,22,10,B,487.71,1.50,731.57,0.32,7285,10759
12/6/2023,22,10,C,479.94,1.50,719.91,0.26,7169,9735
12/6/2023,28,100,A,6.12,1.00,6.12,0.43,990,1684
12/6/2023,28,100,B,266.42,1.00,266.42,0.22,3980,5100
12/6/2023,28,100,C,199.40,1.00,199.40,0.29,2979,4213
12/6/2023,28,10,A,212.12,1.00,212.12,0.4,3169,5315
12/6/2023,28,10,B,211.11,1.00,211.11,0.41,3154,5314
12/6/2023,28,10,C,255.31,1.00,255.31,0.36,3814,5986
12/7/2023,18,100,A,921.32,4.00,3685.28,0.06,13761,14562
12/7/2023,18,100,B,725.34,5.00,3626.70,0.07,10834,11675
12/7/2023,18,100,C,691.26,5.00,3456.30,0.08,10325,11182
12/7/2023,18,10,A,693.40,5.00,3467.00,0.03,10357,10732
12/7/2023,18,10,B,694.27,5.00,3471.35,0.04,10390,10798
12/7/2023,18,10,C,615.28,5.00,3076.40,0.1,989,10159
12/7/2023,22,100,A,729.42,5.00,3647.10,0,10800,10902
12/7/2023,22,100,B,654.10,5.00,3270.50,0.15,9770,11547
12/7/2023,22,100,C,617.21,5.00,3086.05,0.18,9219,11209
12/7/2023,22,10,A,341.88,5.00,1709.40,0.24,5107,6763
12/7/2023,22,10,B,250.35,5.00,1251.75,0.24,3740,4977
12/7/2023,22,10,C,257.38,5.00,1286.90,0.26,3845,5183
12/7/2023,28,100,A,32.27,1.00,32.27,0.31,483,703
12/7/2023,28,100,B,283.96,1.00,283.96,0.16,4242,5050
12/7/2023,28,100,C,242.11,1.00,242.11,0.27,3619,4928
12/7/2023,28,10,A,327.89,1.00,327.89,0.21,4898,6227
12/7/2023,28,10,B,391.03,1.00,391.03,0.14,5841,6773
12/7/2023,28,10,C,468.76,1.00,468.76,0.17,7002,8946
12/8/2023,18,100,A,202.54,16.00,3240.65,0.18,3026,3691
12/8/2023,18,100,B,193.30,16.00,3092.81,0.35,2888,4471
12/8/2023,18,100,C,200.60,16.00,3209.61,0.32,2997,4387
12/8/2023,18,10,A,118.65,16.00,1898.41,0.32,1773,2615
12/8/2023,18,10,B,137.66,16.00,2202.57,0.4,2054,3910
12/8/2023,18,10,C,123.60,16.00,1977.61,0.36,1847,2880
12/8/2023,22,100,A,200.53,16.00,3208.4896,0.3,2996,4250
12/8/2023,22,100,B,210.44,16.00,3367.0496,0.25,3144,4200
12/8/2023,22,100,C,203.28,16.00,3252.4896,0.26,3077,4121
12/8/2023,22,10,A,97.29,16.00,1556.64,0.2,1454,1809
12/8/2023,22,10,B,71.04,16.00,1136.64,0.31,1062,1545
12/8/2023,22,10,C,61.47,16.00,983.52,0.22,919,1179
12/8/2023,28,100,A,9.14,1.00,9.14,0.46,1444,2637
12/8/2023,28,100,B,312.95,1.00,312.95,0.39,4675,7694
12/8/2023,28,100,C,249.68,1.00,249.68,0.33,3730,5545
12/8/2023,28,10,A,352.46,1.00,352.46,0.36,5265,8260
12/8/2023,28,10,B,317.71,1.00,317.71,0.43,4246,8305
12/8/2023,28,10,C,448.34,1.00,448.34,0.27,6697,9215
12/9/2023,28,100,A,21.67,1.00,21.67,0.38,3326,5324
12/9/2023,28,100,B,560.83,1.00,560.83,0.23,8377,10818
12/9/2023,28,100,C,338.88,1.00,338.88,0.34,5062,7725
12/9/2023,28,10,A,545.83,1.00,545.83,0.37,8153,12883
12/9/2023,28,10,B,473.18,1.00,473.18,0.3,7068,10127
12/9/2023,28,10,C,553.40,1.00,553.40,0.36,8266,12974
12/10/2023,28,100,A,55.45,1.00,55.45,0.16,874,1038
12/10/2023,28,100,B,519.31,1.00,519.31,0.34,7757,11828
12/10/2023,28,100,C,404.02,1.00,404.02,0.33,6035,9007
12/10/2023,28,10,A,684.97,1.00,684.97,0.36,10231,15875
12/10/2023,28,10,B,553.13,1.00,553.13,0.38,8262,13348
12/10/2023,28,10,C,575.76,1.00,575.76,0.32,8600,12674
12/11/2023,28,100,A,95.55,1.00,95.55,0.28,1426,1980
12/11/2023,28,100,B,614.46,1.00,614.46,0.24,9178,12101
12/11/2023,28,100,C,543.29,1.00,543.29,0.37,8115,12836
12/11/2023,28,10,A,856.04,1.00,856.04,0.22,12786,16383
12/11/2023,28,10,B,663.94,1.00,663.94,0.36,9917,15508
12/11/2023,28,10,C,771.54,1.00,771.54,0.3,11524,16383
12/12/2023,28,100,A,146.70,1.50,220.05,0.15,2192,2591
12/12/2023,28,100,B,558.02,1.50,837.03,0.37,8335,13329
12/12/2023,28,100,C,495.55,1.50,743.33,0.38,7402,11974
12/12/2023,28,10,A,885.37,1.50,1328.06,0.19,13224,16385
12/12/2023,28,10,B,657.25,1.50,985.88,0.32,9817,14397
12/12/2023,28,10,C,710.07,1.50,1065.11,0.33,10606,15901
12/13/2023,28,100,A,288.72,1.00,288.72,0.2,4313,5394
12/13/2023,28,100,B,381.79,3.00,1145.37,0.11,5703,6393
12/13/2023,28,100,C,367.06,3.00,1101.18,0.2,5483,6835
12/13/2023,28,10,A,862.20,3.00,2586.60,0.07,12878,13799
12/13/2023,28,10,B,577.83,3.00,1733.49,0.16,8631,10235
12/13/2023,28,10,C,521.99,3.00,1565.97,0.09,7797,8591
12/14/2023,28,100,A,109.88,2.00,219.76,0.41,1642,2785
12/14/2023,28,100,B,446.33,2.00,892.66,0.44,6667,11906
12/14/2023,28,100,C,414.33,2.00,828.66,0.47,6189,11750
12/14/2023,28,10,A,670.64,2.00,1341.28,0.38,10017,16146
12/14/2023,28,10,B,568.06,2.00,1136.12,0.38,8485,13727
12/14/2023,28,10,C,696.68,2.00,1393.36,0.36,10406,16383
1/18/2024,25,100,A,61.06,1.00,61.06,0.21,913,1153
1/18/2024,25,100,B,45.2,1.00,45.2,0.37,676,1076
1/18/2024,25,100,C,45.06,1.00,45.06,0.41,674,1145
1/18/2024,25,10,A,42.79,1.00,42.79,0.38,640,1026
1/18/2024,25,10,B,45.53,1.00,45.53,0.29,681,961
1/18/2024,25,10,C,45.87,1.00,45.87,0.37,686,1080
1/19/2024,25,100,A,94.74,1.00,94.74,0.26,1416,1920
1/19/2024,25,100,B,92.2,1.00,92.2,0.38,1378,2240
1/19/2024,25,100,C,110.28,1.00,110.28,0.4,1648,2732
1/19/2024,25,10,A,89.52,1.00,89.52,0.32,1338,1958
1/19/2024,25,10,B,81.29,1.00,81.29,0.34,1215,1842
1/19/2024,25,10,C,82.42,1.00,82.42,0.4,1232,2069
1/20/2024,25,100,A,320.12,1.00,320.12,0.22,4782,6165
1/20/2024,25,100,B,257.38,1.00,257.38,0.28,3845,5317
1/20/2024,25,100,C,281.22,1.00,281.22,0.33,4201,6267
1/20/2024,25,10,A,217.81,1.00,217.81,0.37,3254,5159
1/20/2024,25,10,B,233.54,1.00,233.54,0.33,3489,5185
1/20/2024,25,10,C,237.76,1.00,237.76,0.34,3552,5387
1/22/2024,25,100,A,729.49,1.00,729.49,0.31,10896,15817
1/22/2024,25,100,B,735.58,1.00,735.58,0.23,10987,14205
1/22/2024,25,100,C,744.02,1.00,744.02,0.29,11113,15623
1/22/2024,25,10,A,751.65,1.00,751.65,0.24,11227,14855
1/22/2024,25,10,B,792.43,1.00,792.43,0.28,11836,16383
1/22/2024,25,10,C,531.7,1.50,797.55,0.34,7942,12107
1/23/2023,25,100,A,588.35,2.00,1176.7,0.27,8788,12011
1/23/2023,25,100,B,543.75,2.00,1087.5,0.28,8122,11330
1/23/2023,25,100,C,556.14,2.00,1112.28,0.27,8307,11421
1/23/2023,25,10,A,548.71,2.00,1097.42,0.32,8196,12103
1/23/2023,25,10,B,591.56,2.00,1183.12,0.3,8836,12572
1/23/2023,25,10,C,567.56,2.00,1135.12,0.29,8471,11866
1/24/2023,25,100,A,456.58,3.00,1369.74,0.3,6820,9774
1/24/2023,25,100,B,489.65,3.00,1468.95,0.31,7314,10560
1/24/2023,25,100,C,417.81,3.00,1253.43,0.26,6241,8481
1/24/2023,25,10,A,420.22,3.00,1260.66,0.3,6277,8938
1/24/2023,25,10,B,448.61,3.00,1345.83,0.24,6701,8813
1/24/2023,25,10,C,423.03,3.00,1269.09,0.24,6319,8295
1/25/2023,25,100,A,477.2,3.00,1431.6,0.3,7128,10127
1/25/2023,25,100,B,526.81,3.00,1580.43,0.31,7869,11481
1/25/2023,25,100,C,454.03,3.00,1362.09,0.33,6782,10156
1/25/2023,25,10,A,334.05,3.00,1002.15,0.23,4990,6472
1/25/2023,25,10,B,335.05,3.00,1005.15,0.17,5005,6063
1/25/2023,25,10,C,337.13,3.00,1011.39,0.21,5036,6413
