SampleID,Sample,Project,Well,PCRDate_Treat,SampleInfo_Rep,Notes_Filter
m30,"914, 18C, 10%N, A","Miah, Nitrogen Exp",6G,4/9/24,"914, 18C, 10%N, A",Used 4µl for gel
m31,"914, 18C, 10%N, B","Miah, Nitrogen Exp",6H,4/9/24,"914, 18C, 10%N, B",Used 4µl for gel
m32,"914, 18C, 10%N, C","Miah, Nitrogen Exp",7A,4/9/24,"914, 18C, 10%N, C",Used 4µl for gel
m33,"914, 18C, 100%N, A","Miah, Nitrogen Exp",7B,4/9/24,"914, 18C, 100%N, A",Used 4µl for gel
m34,"914, 18C, 100%N, B","Miah, Nitrogen Exp",7C,4/9/24,"914, 18C, 100%N, B",Used 4µl for gel
m35,"914, 18C, 100%N, C","Miah, Nitrogen Exp",7D,4/9/24,"914, 18C, 100%N, C",Used 4µl for gel
b1,BLANK (4/9/24),blank,7E,4/9/24,Blank from PCR samples run on 4/9/24,Used 4µl for gel
b2,BLANK (4/8/24),blank,7F,4/8/24,Blank from PCR samples run on 4/8/24,Used 4µl for gel
L9,1-3 0.2,Pyro,7G,1,3,2
L10,2-1 0.2,Pyro,7H,2,1,2
L1,2-3 0.2,Pyro,8A,2,3,2
L2,2-3 10.0,Pyro,8B,2,3,10
L3,3-3 10.0,Pyro,8C,3,3,10
L4,3-1 10.0,Pyro,8D,3,1,10
L5,1-2 10.0,Pyro,8E,1,2,10
L6,3-3 0.2,Pyro,8F,3,3,2
L7,3-2 10.0,Pyro,8G,3,2,10
L8,2-2 10.0,Pyro,8H,2,2,10
L12,1-1 10,Pyro,9A,1,1,10
L13,3-1 .2,Pyro,9B,3,1,2
L14,1006 AB 10,Pyro,9C,AB,1,10
L15,1006 AB .2,Pyro,9D,AB,1,2
L16,1-2 .2,Pyro,9E,1,2,2
L17,1003 10,Pyro,9F,1003,1,10
L18,1003 .2,Pyro,9G,1003,1,2
L19,3-2 .2,Pyro,9H,3,2,2
L11,2-2 0.2,Pyro,10A,2,2,2
L20,1-3 10,Pyro,10B,1,3,10
L21,2-1 10,Pyro,10C,2,1,10
